id,name,latitude,longitude,owner's name
1,North Terry,30.2234,-97.7697,David Lopez
2,Jonesview,37.7825,-122.393,Brandon Glass
3,West Richardmouth,50.7668,4.3081,Justin Stephens
4,North Deniseside,59.7451,10.2135,Alisha Patrick
5,Daniel Austin,50.2606,4.9122,Penny Young
6,North Pattyshire,50.3093,4.7646,Chase Mcdaniel
7,Port Krystalfort,50.1999,5.2277,Javier Sanchez
8,North Kathleenside,41.2225,-77.0369,Kristina Osborne
9,Cardenasstad,41.4392,-87.1078,Jessica Kim
10,Cookton,30.5049,-89.944,William Romero
11,New Ian,52.3277,1.6802,James Rose
12,Alexisside,50.9699,4.1892,Joseph Chambers
13,Stacey Sexton,49.7652,-97.1539,Erin Hickman
14,Bradchester,41.2603,-96.0903,Maria Higgins
15,Johnsonport,47.8781,10.6161,Michael Best
16,Hayesport,45.5484,-122.619,Ashley Williams
17,Duncanberg,58.3573,-134.49,Stephanie Howard
18,Davisland,43.1257,-89.3253,Amy Gibson
19,Amyshire,32.892,-117.144,Carl Pennington
20,West Williamborough,21.3069,-157.858,Katrina Young
21,Carlostown,43.7028,-70.3166,Jonathan Kidd
22,East John,43.7028,-70.3166,Mr. Nicholas Hoover
23,Lake Annville,40.6016,-75.474,Morgan Smith
24,Davismouth,47.7487,10.5694,Scott Matthews
25,New Cody,47.7237,10.3141,Terri Smith
26,East Teresa,38.0501,-84.5088,Alexandra Hunt
27,North Ashley,32.8355,-116.765,Donna Walker
28,West Gregorymouth,48.3457,8.4031,Julie Baker
29,East Robertland,50.919,3.2632,Andre Harris
30,Beardfurt,41.7605,-88.309,Julie Jackson
31,North Seth,38.8966,-121.077,Curtis Rogers
32,Meyerschester,39.1551,-94.482,Joshua Allen
33,Port Connie,42.3763,-72.5199,Carrie Vargas
34,Jimmyville,38.535,-105.992,Sharon Bailey
35,Masonburgh,52.3738,4.8909,Daniel Hansen
36,Latoyaberg,48.5193,-122.613,Mark Christensen
37,Ashleyfort,37.7635,-122.401,Eric Beck
38,Ruizmouth,47.9775,11.185,Kathleen Floyd
39,Lake Sarah,39.0014,-123.356,Christine Fuentes
40,North Kristenborough,44.3516,-69.1401,Glenn Anderson
41,Port Randy,43.0785,-89.382,Jane Kramer
42,Michaelmouth,38.5983,-90.209,Heidi Williams
43,East Meganberg,40.2659,-76.8753,Sharon Moore
44,Michael Garcia,44.2619,-88.4154,Travis Freeman
45,Jeffersonhaven,42.322,-85.1851,David Richards
46,Arroyobury,53.3433,-6.2846,Daniel Gilbert
47,Lyonsfort,35.6221,-82.5536,Robin Ward
48,Denise Schwartz DDS,33.818,-84.4353,Travis Russell
49,Campbellchester,44.3996,-68.334,James Wells
50,Lake Kayla,42.3372,-83.0186,Kimberly Zhang
51,Lake Juanmouth,44.2896,-94.449,Arthur Cantu
52,Williamsfurt,44.2896,-94.449,Robert Villa
53,Port Jeannestad,38.5702,-90.8802,Robert Garza
54,Turnerburgh,-37.968,144.525,Felicia Evans
55,Danielmouth,40.0166,-105.219,Alexis Gray
56,Barryland,35.6197,-78.8085,Justin Whitehead
58,West Jasmine,41.6124,-86.7268,Leslie Hess
59,New Ryan,39.5765,-106.094,Elizabeth Welch
60,Lake Laura,44.0486,-91.6774,Joseph Choi
61,Leah Stanley,44.4214,-84.1167,Becky Rhodes
62,Tommybury,32.7668,-117.195,Adrian Murray
63,Lauraview,39.42,-76.54,Timothy Rice
64,East Colleenville,49.8901,10.9067,Ashley Gray
65,Lake Alexiston,44.1636,-93.9994,Donald Wang
66,Andrewmouth,44.3875,-68.2046,Emily Mckay
67,West Nicole,38.9169,-94.3943,Debra Jacobs
68,Lake Katrinaside,48.3979,9.9899,Reginald Walker
69,Ramirezborough,34.4702,-114.35,Trevor Shaffer
70,South Brianshire,41.0523,-75.3354,Haley Hall
71,Brucebury,40.0453,-86.0155,Maria Wood
72,New Davidview,45.036,-93.1984,Elizabeth Thomas
73,Gainestown,39.9745,-83.049,Brittany Gallagher
74,Aguilarfort,39.9719,-83.0027,Nathan Torres
75,Davisbury,36.0721,-115.075,Carlos Carlson
76,Kingbury,47.5203,-122.312,Charlotte Gamble
77,East Daniel,39.1136,-84.526,Joseph Salazar
78,Coxview,39.9767,-74.1829,Nathan Kirk
79,Gonzalezmouth,52.8046,-1.6281,Blake Casey
80,Brownhaven,10.9639,-74.7964,Donald Lambert
81,Jeffreyhaven,41.238,-77.0103,Hannah Benitez
82,Melissaburgh,44.1004,-70.2148,Samantha Price
83,South Kyleborough,48.3952,11.7288,Kelsey Daniel
84,North Kurt,46.8726,-114.02,Robert Arnold
85,Katiefurt,38.2546,-85.7401,Erin Rivas
86,Stuarttown,28.5383,-81.3792,Jason Peterson
87,West Ashleyville,37.7694,-122.51,Elizabeth Barrett
88,Lake Joshua,51.897,-8.4769,Ricky Harris
89,Thomasland,38.6112,-122.871,Brian Bass
90,Amber Freeman,38.8916,-121.293,Michael Carter
91,New Gregoryton,44.4295,-68.975,Laura Newman
92,Alexisside,55.997,-2.5098,Vanessa Murphy
93,Craig Ward,17.4977,-88.1867,Kristin Burns
94,Lee Aguilar,42.2843,-85.4538,Dr. Amber Bell
95,South Gregory,43.1947,-88.729,Keith Scott
96,Evanmouth,41.5059,-90.5171,Mrs. Rachel Spencer
97,Stephen Hart,52.4793,13.4293,Joseph Mccormick
98,Vickieville,52.5234,13.4114,Shirley Phillips
99,North Adam,40.622,-75.382,David Anderson
100,East Wyatthaven,40.1106,-88.2073,Dennis Gibson
101,Bennettberg,32.3293,-96.6253,Justin Perkins
102,North Markchester,51.5163,5.5977,Gregory Huerta
103,Millerstad,51.544,5.1285,Patricia Walker
104,New Kevin,51.1684,6.0515,Nicholas Clark
105,Thomasfurt,37.7756,-122.398,Jennifer Glenn
106,East Michellehaven,35.8104,-78.6179,Ashley Perez
107,Murrayton,45.0223,-84.6826,Brandon Smith
108,Lake Ronaldland,42.9634,-85.6681,Adrian Kelly
109,North Sherriborough,36.2426,-115.236,Madison Jones MD
110,Yoderstad,45.7736,-111.172,Joshua Clark
111,Powellfort,42.1511,-87.9144,James Knapp
112,Mrs. Melissa Davis MD,49.1049,-122.69,Brian Burgess
113,New Andrewfurt,49.1344,-123.065,Stephanie Jenkins
114,West Theodoreton,50.9847,-113.956,Aaron Peters
115,James Williamson,46.9223,-114.073,Deborah Bryant
116,Lake Davidside,47.6576,-122.313,Nicole Welch
117,Port Caitlinville,45.8981,-123.961,Kayla Martin
118,Julie White,50.0943,8.6913,Robert Rice
119,Veronica Hayes,46.0597,13.2269,Amy Kelley
120,New Tina,44.5153,7.8922,Amber Kelley
121,Gardnerport,44.6601,10.2814,Jamie Davis
122,Patriciaside,37.8634,-122.259,Kerry Edwards
123,Turnerbury,49.974,6.5227,Jason Daugherty
124,Cooperburgh,45.5235,-122.676,Linda Martinez
125,Nicholas Larsen,33.9132,-117.889,Maria Walker
126,Marymouth,41.8817,-87.6926,William Cooper
127,North Laura,37.23,-80.41,Lance Stephens
128,Dominiqueview,36.152,-86.7989,Tyler Baird
129,Lake John,38.8339,-104.821,Holly Velazquez
130,Cody Anderson PhD,45.5325,-122.686,Anthony Allen
131,Port Ryan,39.1716,-86.5104,Robert Crawford
132,East Timothy,43.0598,-89.3085,Maurice Harding
133,New Alex,41.5118,-90.5746,Maria White
134,South Krystal,35.0845,-106.651,Christopher Myers
135,New Patrickbury,40.7591,-73.0215,Curtis Rivera
136,Susan Flores,34.8531,-82.3983,Lauren Taylor
137,Lanebury,38.253,-85.654,Mark Monroe
138,South Cherylchester,44.1332,-73.0784,Lauren Nguyen
139,Chadborough,53.4807,-2.2344,Nicole Perez
140,Murphychester,35.1584,-114.573,James Valenzuela
141,Andrewsmouth,34.0532,-118.256,Tamara Brock
142,Andrea Coleman,42.4311,-83.4833,David Cole
143,Lake Michelle,13.7783,100.509,Victoria Jackson
144,Ashley Finley,35.3733,-119.019,Meghan Foster
145,Lindachester,35.0868,-89.8101,Anita Parks
146,Jefferystad,52.6739,14.9004,Gerald Conrad
147,North Rogerbury,42.3144,-71.1034,Brandon Williamson
148,Lake Donald,42.347,-71.0989,Cassandra Hood
149,Sheppardshire,42.8666,-109.866,Richard Sosa
150,Bauerfort,40.0267,-105.248,Kathleen Mcclain
151,Cody Blair Jr.,39.0821,-94.5965,Christine Jones
152,West Melissa,48.7475,-122.481,Brian Hicks
153,Justinfurt,45.4289,-73.6313,Warren Case
154,Marc White,49.7185,5.5571,Megan Jones
155,West Jason,50.4852,2.8306,Carol Nguyen
156,Port Denise,50.8431,3.6077,Jeffrey Ray
157,Samuelbury,50.1507,5.7442,Randall Ibarra
158,Penaburgh,50.5593,4.1365,Joseph Flores
159,East Natalie,50.3693,3.827,Connor Weeks
160,Thomasstad,50.5109,3.3883,Dana Brown
161,Garrisonfort,49.9842,4.3111,Debbie Hale
162,Port Nathanport,50.3705,3.7263,Becky Morris
163,Lauraland,50.7046,5.822,Christopher Hess
164,Melanie Nichols,50.7853,4.2437,Margaret Smith
165,North Cynthia,50.7975,2.5412,David Dixon
166,Jeffrey Lloyd,50.2248,4.4102,Kathleen Johnson
167,West Megan,50.6493,3.9242,Mr. Micheal Munoz
168,Vargasborough,-17.6797,-149.407,Emily Dunlap
169,Holttown,45.7075,5.9153,Jay Johnson
170,East Mary,47.2543,7.2026,Cynthia Davis
171,Samanthamouth,50.6204,3.7592,Kimberly Lambert
172,Manningtown,48.0028,6.6583,Linda Webb
173,Lancefurt,32.3906,-93.3739,Juan Hart
174,Port Matthew,50.3114,4.9435,Mrs. Yvonne Lewis DDS
175,Michelle Oneal,50.5779,3.5554,Joshua Richmond
176,Katherinechester,50.5718,3.6508,Jason Bowen
177,Lake Garyton,50.3089,3.6285,Kenneth Parker
178,East Jasonton,50.7428,3.6875,Pamela Martin
179,West Thomasmouth,50.286,5.5127,Heather Diaz
180,North Jeffreyport,50.6054,3.0775,David Stuart MD
181,David Perez,50.408,4.1659,Mr. Mark Price
182,North Thomas,50.2024,4.8914,Gordon Brown
183,Greeneburgh,50.2601,3.3125,Amanda Gamble
184,Dustin Gallegos,50.6746,4.1509,John Medina
185,Carla Robinson,45.4682,-73.5913,Shirley Shields
186,William Scott,42.6483,9.4529,Jessica Daniel
187,Gamblebury,50.8851,2.4329,Reginald Levine
188,Lake Ryan,50.3682,4.3266,Jamie Roach
189,Wrightborough,50.8416,4.3355,Raven Ford
190,Nicole Lozano,48.593,7.7149,Brett Russell
191,East Katie,47.6715,9.5888,Alexander Hunt
192,North Ronald,47.9706,11.7808,Haley Hardy
193,East Robert,53.0787,8.7901,Monique Sanford
194,Jessica Petersen,51.3055,8.1259,Betty Salazar
195,East John,49.8942,10.8855,Mindy Allen
196,Thompsonburgh,49.9477,11.5659,Ronald Bullock
197,New Seanmouth,48.2351,13.8292,Nicole Wright
198,Langstad,47.3625,15.0947,Christopher Johnston
199,Port Crystalland,52.3935,9.6814,Benjamin Dunlap
200,Brycestad,47.8243,10.0239,Laura Blair
201,Lozanotown,47.3642,8.5245,Zachary Elliott
202,New Samantha,47.7818,9.6215,James Mata
203,Warnerport,47.3301,9.4135,Laurie Smith
204,Port Ashley,50.8753,6.9944,Joshua Martinez
205,Gutierrezport,47.4301,9.3794,Michael Harvey
206,Port Ericmouth,51.2216,6.7853,Bradley Mclaughlin
207,South Mariahview,51.2847,7.2936,Julian Barnes
208,Wesleyport,49.8942,10.8855,Dennis Cox
209,West Amytown,51.9657,7.6214,Russell Ray
210,South Kevinbury,48.1306,15.1386,Donna Stanton
211,Santanachester,48.0778,9.3996,Abigail Parker
213,New Shanemouth,44.4105,-95.4107,Jamie Cantrell
214,Donald West,49.6993,9.2492,Leslie Little
215,Stewartfort,51.2404,6.7516,Andrea Young
216,Port Corytown,47.6651,9.175,Shannon Gomez
217,Jessechester,43.0646,141.347,Bridget Williams
218,Stephen Garcia,50.9394,6.9594,Dennis Gomez
219,South Scotttown,47.5585,8.9006,Melissa Pennington
220,Lake Rachael,47.0679,15.4417,Ricky Welch
221,Rodriguezshire,41.254,-95.9993,Vickie Kidd
222,South Jadeland,39.7236,-105.001,Mrs. Victoria Harrison MD
223,Patrickbury,39.7236,-105.001,Roberto Powell
224,Codyburgh,50.6718,6.122,Frank Allen
225,Port Joeport,41.347,-81.8226,Dr. Ian Boyd
226,Port Christinaville,37.3861,-122.084,Darren Herrera
227,South Sherry,57.683,-2.003,Robin Hawkins
228,Port Todd,39.3028,-76.6164,Andrea Wells
229,Lake Chelseachester,41.4548,-70.565,Kyle Shah
230,Chambersfort,50.8527,4.3311,Alexis Mitchell
231,Port Toni,48.9739,14.475,Sheena Richards
232,Amandahaven,51.3144,4.989,Jerry Morgan
233,New Williamton,42.8606,-90.1772,John White
234,Hortonborough,50.853,4.1649,Melanie Mcdonald
235,East Tiffany,42.6818,-74.9255,Cathy Aguirre
236,Danielshire,42.5847,-87.8212,Christopher Carter
237,Heidiburgh,37.5483,-121.989,Larry Torres
238,Deanna Matthews,42.4965,-90.6652,Jenna Curry
239,East Rubenside,45.5311,-122.685,Kristina Bradley
240,Lisa Calhoun,39.3628,-77.4265,Darrell Johnson
241,Michelleshire,38.8097,-104.826,Megan Knight
242,Port Caroline,39.8735,-86.1427,Laura Walker
243,South Nicoleburgh,40.7215,-73.9575,Ruben Stein
244,Port Sandra,55.6145,-3.4107,Manuel Holt
245,Port Robert,52.3666,4.9263,Christopher Johnson
246,Kaylabury,51.2974,4.6881,Richard Sanchez
247,Taylorfort,50.8961,2.7222,Jacob Arroyo
248,Shannonhaven,50.4431,4.4147,Alexander Harris
249,Richard Hicks,50.8853,4.7008,Kyle George
250,Meagantown,50.8628,3.2992,Katrina Martin
251,New Erin,50.7767,3.2785,Tina Berry
252,South Robin,50.7123,4.2197,Adam Keller
253,Port Justinberg,51.0138,4.2018,Julie Mora
254,South Timothy,51.2986,5.4896,Katie Hayes
255,Port Lucas,50.985,4.2226,Terry Hansen
256,Wareborough,51.0281,2.9038,Samantha Wise
257,Christopher Harmon,51.2094,3.2252,Denise Cabrera
258,Jasminebury,50.9098,4.2505,Nicole Bailey
259,Hallshire,51.544,5.1285,Veronica Gonzalez
260,Thomasport,51.0228,4.1572,Tammy Williams
261,East Charles,50.8105,3.1857,Cody Roach
262,Jeanhaven,51.1968,3.2527,Allison Taylor
263,Ninaton,50.971,4.191,Jo Brooks
264,Jamesview,51.2515,5.546,Elizabeth Walker DVM
265,Jenniferhaven,51.0442,4.3257,Douglas Evans
266,Ritterstad,50.9882,5.0554,William Reynolds
267,Kaiserchester,51.0325,4.473,Julie Pham
268,Michael Young,50.7763,5.166,Antonio Morrow
269,Andrew Hodge,50.8439,3.617,Nicholas Pitts
270,Daniel Good,50.818,4.2307,Mr. Benjamin Baker
271,Daniellechester,50.7586,4.3012,Christopher Collier
272,Harold Rivas,50.9462,3.1362,Heather Campbell
273,Santiagoborough,50.831,3.6759,Elizabeth Scott
274,Spencer Myers,51.1168,5.6464,Zachary Petersen
275,Rhodesview,50.8417,4.0213,James Russell
276,Jenniferberg,50.5018,4.1086,Eric Gentry
277,West Patrickfort,50.8425,2.6362,Cheryl King
278,Adamsmouth,51.4439,4.7386,Zachary Wright
279,West Lori,51.0923,3.01,Franklin Kim
280,Jerometown,51.1287,3.4785,Rebecca Anderson DVM
281,New Jasminburgh,50.8564,3.8845,Carlos Mcclain
282,South Emily,50.8612,2.6615,Diana Pena
283,East Thomas,50.7778,4.8877,Barbara Dickerson
284,Christopherborough,50.9201,3.2579,David Montes
285,West Colleen,51.1766,3.7462,Carolyn Jensen
286,Brandonside,50.8322,3.3884,Rachel Garza
287,North Kristinefurt,49.9622,20.6003,Cindy Perez
288,Lake Patrick,49.6622,19.1742,William Lane
289,Ericburgh,45.638,-89.4127,Derrick Ferguson
290,Mooreside,38.2554,-85.7441,Taylor Hernandez
291,New Susan,56.0746,12.1161,Nicole Herring
292,West Stanley,42.5083,-89.0318,Michelle Lee
293,Woodwardborough,40.1119,-76.5031,Arthur Reyes
294,Christine Brown,39.705,-104.936,Paul Villarreal
295,Alexisberg,36.7477,-119.772,Mr. Duane Walsh
296,Melissaview,41.2404,-77.0057,Bruce Gonzalez
297,Richardton,52.056,-2.7175,William Russell
298,Howardview,52.8065,-1.6225,Angela Charles
299,Carrchester,39.7245,-121.848,Brittany Carlson
300,South Kayla,36.7477,-119.772,Amy Moore
301,Kingchester,41.5713,-71.0571,Suzanne Nelson
302,East Robinshire,41.1607,-104.802,Randy Smith
303,Christopherville,42.6542,-73.7481,John Love
304,Nicholasfurt,42.1844,-122.663,Brittany Baker
305,Jacquelineport,55.9358,-3.2297,Aimee Davis
306,Farmermouth,35.932,-84.012,Justin Armstrong
307,Jacobstad,37.9735,-122.531,Christian Adams
308,Brandon Phillips,32.9147,-117.146,Aaron Carey
309,North Laura,42.3664,-71.0911,Derrick Jensen
310,Christopherfurt,43.4745,-79.6775,Steven Gomez
311,Johnsonview,41.4995,-81.6954,Jonathan Mccoy
312,New Colin,52.1344,-106.648,Clifford Keith
313,Sherihaven,42.6102,-70.6664,Nicole Jones
314,Port Edwardhaven,43.0949,-89.5163,Jocelyn Hester
315,Jonathanhaven,38.8999,-77.0272,Andrew Leon
316,Alexander Gutierrez,38.8411,-77.0869,Lisa Ramirez
317,Meganstad,41.126,-73.7896,Taylor Miller
318,Jessicaport,52.8042,-6.7295,Christine Huerta
319,Rebeccaville,52.7196,-6.846,Diana Moss
320,Dennisstad,55.6667,12.5393,Laura Ortiz
321,South Wendyfort,56.9002,12.5405,Sandra Perez
322,South Williammouth,-37.8231,144.967,Marc Mathis
